speaker,short_description,promise
Alberto Fernández,Mercosur,"Mercosur un espacio regional que desde hace mucho tiempo esta abandonado, la primera obligación que tenemos como país es volver a unir America Latina y volver a potenciar al Mercosur"
Alberto Fernández,Consumo,lo primero que tenemos que hacer es volver a generar consumo para que la economía vuelva a funcionar
Alberto Fernández,Medio Ambiente,"vamos a ocuparnos tambien de cuidar el medio ambiente por que hay un imperativo que es que el cambio climático nos está exigiendo eso, vamos a cuidar nuestros bosques y vamos a pedir la minería que se desarrolle de un modo sustentable"
Alberto Fernández,INDEC,vamos a tener un INDEC que funcione bien
Alberto Fernández,Exportaciones,vamos a ayudar a que las exportaciones crezcan porque necesitamos dolares
Alberto Fernández,"Ministerio de la Mujer, Igualdad y de la Diversidad","Vamos a crear el Ministerio de la Mujer, de Igualdad y de la Diversidad para que de una vez y para siempre los argentinos entremos al siglo XXI y no haya leyes y reglas para unos y para otros."
Alberto Fernández,Desdolarizar tarifas,Desdolarizaremos tarifas. Las tarifas seguirán el ritmo del salario y el ingreso de los argentinos
Alberto Fernández,Capitales especulativos,Ni cepo ni especulación. Una regulación que ponga límites a los capitales especulativos
Alberto Fernández,"Ministerio de Ciencia, Tecnología e Innovación Productiva","recuperar el Ministerio de Ciencia, Tecnología e Innovación Productiva y poner de pie al Conicet"
Alberto Fernández,Aborto,vamos a despenalizar el aborto
Alberto Fernández,Jubilados,Vamos a hacer una ley que diga que los jubilados no pagan los medicamentos
Alberto Fernández,Salario,Los cálculos dicen que el salario real y las jubilaciones cayeron entre el 15 y el 20%. Yo el 10 de diciembre voy a recomponer esos salarios y voy a recomponer las jubilaciones
Mauricio Macri,Impuesto a las Ganancias,En mi gobierno los trabajadores no van a pagar impuesto a las Ganancias
Mauricio Macri,Jardines de Infantes,Yo me comprometo a construir los 3 mil jardines de infantes que faltan
Mauricio Macri,Empleo,"un plan [de] primer empleo para que en los cinco primeros años de trabajo nuestros jóvenes arranquen registrados, en blanco, porque ellos no van a pagar impuestos ni el empleador va a pagar impuestos"
Mauricio Macri,Asignación,"Quiero trabajar para que la asignación no solo continúe, sino que se extienda a todos, incluyendo a los hijos de monotributistas"
Mauricio Macri,Trabajo y PyMEs,"Hay que crear trabajo, cuidando los que tenemos, esto significa cuidar nuestras PyMEs, nuestros pequeños productores"
Mauricio Macri,Plan Belgrano,"[Vamos a lanzar el] Plan Belgrano, que arranca de US$16 mil millones de inversión en infraestructura para conectar el Norte con el resto del país"
Mauricio Macri,Delincuencia,"Yo les quiero proponer, que es una de mis tres propuestas, enfrentar y derrotar el narcotráfico, que ha potenciado, que ha aumentado la violencia y la cantidad de delitos en la Argentina"
Mauricio Macri,Pobreza cero,Tenemos como objetivo económico lograr una Argentina con pobreza cero
Mauricio Macri,Crimen Organizado,"[crear] una Agencia Nacional de Lucha contra el Crimen Organizado, que además trate temas de trata, tráfico de armas, lavado de dinero, corrupción"
Mauricio Macri,CONIN,Me estoy comprometiendo a [crear] Centros de Primera Infancia y Centros CONIN por todo el país
Mauricio Macri,Inflación,"Teniendo un gobierno que va a fijar reglas de juego claras, va a bajar la inflación a un dígito"
Mauricio Macri,Creditos hipotecarios,[Vamos a poner en marcha] un millón de créditos [hipotecarios] a 30 años
Mauricio Macri,Radarizar,"Diez años sin radarizar, sin poner escáners, sin ocupar los ríos, eso tenemos que hacerlo desde el primer día"
Mauricio Macri,Policia,"Propongo que tengamos (…) una policía judicial para que investigue a fondo el pasado, pero también nuestro futuro gobierno, si nos toca gobernar"
Mauricio Macri,Addicciones,[Vamos a desarrollar] Centros de Tratamiento Integral de las Adicciones
Mauricio Macri,Computadora de primer grado,"Pongamos en marcha en todo el país: la computadora de primer grado, el inglés"
Mauricio Macri,Sistema electoral,Propongo que tengamos un sistema electoral (…) con boleta única electrónica
Mauricio Macri,Policia 2,[Vamos a] profesionalizar a las fuerzas policiales
Mauricio Macri,Ley del arrepentido,"Propongo que tengamos (…) ley del arrepentido, La razón principal de este tipo de herramientas es que ayuden a develar quiénes son los líderes de una organización que comete un delito"
